Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00087670707441645,-0.000134893526176572,0.129521903663046,0,0,0,12.650328257387,0.3743375907921,-1.25191226255394E-05,-0.00234555565491785,0.378308274776804,-0.00013948799356669,0.443889564061725,0,0,0,0,0,0,package://gg_description/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://gg_description/meshes/base_link.STL,,main_base-2;cover_base-2;body-1;shoulder0_ass_r-1;shoulder0_ass_l-1,gg_base_link0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
gg_lw_Link,-9.54791801177635E-15,0,0,0,0,0,0.061890862640772,8.04435168188267E-05,-7.27153458578974E-36,4.35593139278978E-35,0.000112073295576422,1.00298565734457E-19,8.04435168188267E-05,0,0,0,0,0,0,package://gg_description/meshes/gg_lw_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_lw_Link.STL,,wll-2,gg_lw_link1,a_lw,gg_lw_joint,continuous,0,0.2225,0.0228,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
gg_rw_Link,4.21884749357559E-15,2.22044604925031E-16,-5.55111512312578E-17,0,0,0,0.0618908626407721,8.04435168188268E-05,-1.62836134705691E-35,2.85140354730484E-35,0.000112073295576423,1.00298565734457E-19,8.04435168188268E-05,0,0,0,0,0,0,package://gg_description/meshes/gg_rw_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_rw_Link.STL,,wlr-2,gg_rw_link2,a_rw,gg_rw_joint,continuous,0,-0.222500000000033,0.0227999999999976,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
gg_fp_Link,0,0,0,0,0,0,0.105739306655505,4.07213383852693E-05,0,0,4.07213383852693E-05,0,4.07213383852693E-05,0,0,0,0,0,0,package://gg_description/meshes/gg_fp_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://gg_description/meshes/gg_fp_Link.STL,,pasf-1,gg_fp_link3,Axis_gg_fp_joint,gg_fp_joint,fixed,0.2225,0,-0.00320000000000079,0,0,0,base_link,0,0,0,,,,,,,,,,,,
gg_rp_Link,7.32747196252603E-15,0,0,0,0,0,0.105739306655505,4.07213383852693E-05,0,0,4.07213383852693E-05,0,4.07213383852693E-05,0,0,0,0,0,0,package://gg_description/meshes/gg_rp_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://gg_description/meshes/gg_rp_Link.STL,,pasr-1,gg_rp_link4,Axis_gg_rp_joint,gg_rp_joint,fixed,-0.226791899422913,0,-0.00319999999999801,0,0,0,base_link,0,0,0,,,,,,,,,,,,
gg_laser_Link,-0.000163032244300587,-4.41813252649581E-13,-0.0264786679595439,0,0,0,0.144890835814023,7.63975905774395E-05,-3.43064130820371E-16,5.49231602354192E-07,7.69075614466373E-05,2.21414439949515E-14,5.05011582230962E-05,0,0,0,0,0,0,package://gg_description/meshes/gg_laser_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gg_description/meshes/gg_laser_Link.STL,,hokuyo_laser-1,gg_la_link5,Axis_gg_laser_joint,gg_laser_joint,fixed,0.209118508553583,0,0.101300000000011,0,0,0,base_link,0,0,0,,,,,,,,,,,,
gg_cam1_Link,-0.00608566765043428,1.11022302462516E-16,-0.025707145079938,0,0,0,0.049571006742289,1.54209195929442E-05,4.26459949268379E-20,5.33148997740382E-06,0.000125140284824981,-3.54577656365757E-22,0.00011963652209279,0,0,0,0,0,0,package://gg_description/meshes/gg_cam1_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_cam1_Link.STL,,camera_xbox-1,gg_ca1_link6,Axis_gg_cam1_joint,gg_cam1_joint,fixed,0.259496131718395,0.0361385390106069,0.161999999999998,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
gg_cam2_Link,0.00108786663322763,-0.000201032384153033,-0.0187798361475048,0,0,0,0.160828442414892,2.52714835901354E-05,9.2835171138927E-09,5.72311720896949E-07,0.000434489511612229,1.46849874663095E-08,0.000427231940538994,0,0,0,0,0,0,package://gg_description/meshes/gg_cam2_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_cam2_Link.STL,,ASUS Xtion Pro Live-1,gg_cam2_link7,Axis_gg_cam2_joint,gg_cam2_joint,fixed,0.0805726042816627,-0.00137926838632108,1.03855512604048,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
gg_head_Link,0.0157083816590583,0.000196683267197684,0.136187769609681,0,0,0,0.713863501614828,0.00475971491279427,2.30763354351006E-06,-0.000111949358608975,0.00323474428634301,-3.52269559546706E-07,0.00330513482373154,0,0,0,0,0,0,package://gg_description/meshes/gg_head_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gg_description/meshes/gg_head_Link.STL,,head-1,gg_head_link10,axis_head,gg_head_joint,revolute,0,0,1.106,0,0,0,base_link,0,0,-1,0,0,0.3925,-0.3925,,,,,,,,
gg_cam3_Link,2.07692891773803E-08,-0.00179304047114992,-0.0086330039275947,0,0,0,0.00288615905957832,1.49885370606353E-07,4.61954798781525E-14,-4.12754657281223E-14,1.22145355044454E-07,-1.92017046745121E-08,1.6704201249208E-07,0,0,0,0,0,0,package://gg_description/meshes/gg_cam3_Link.STL,0.752941176470588,0,0,1,0,0,0,0,0,0,package://gg_description/meshes/gg_cam3_Link.STL,,camera_head-1,gg_cam3_link8,Axis_gg_cam3_joint2,gg_cam3_joint,fixed,0.0770202621633423,0.00144048739006003,0.192546394658118,1.5707963267949,0,1.5707963267949,gg_head_Link,0,0,0.999999999997106,,,,,,,,,,,,
gg_rsh1_Link,8.18131384860976E-09,1.69344732681154E-08,0.0175032164290977,0,0,0,0.0381303823374811,3.59625774466967E-05,8.7817335490912E-10,5.16529323543741E-11,2.30670245307998E-05,-1.42460588813036E-11,3.63431445156976E-05,0,0,0,0,0,0,package://gg_description/meshes/gg_rsh1_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_rsh1_Link.STL,,shoulder1_r-1,gg_rsh1_link11,axis_rsh1,gg_rsh1_joint,revolute,0,-0.18984,0.97435,1.5708,1.5708,0,base_link,0,0,-1,0,0,-1.5708,3.1416,,,,,,,,
gg_rsh2_Link,0.0419429149642356,-2.68905076272752E-06,3.56683808377944E-06,0,0,0,0.0248848374342612,1.30396985610604E-05,-1.11524570643438E-10,2.23505469138815E-10,6.79317648943525E-06,-2.71985954880275E-10,7.49518502375986E-06,0,0,0,0,0,0,package://gg_description/meshes/gg_rsh2_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_rsh2_Link.STL,,shoulder2_r-1,gg_rsh2_link12,axis_rsh2,gg_rsh2_joint,revolute,0,0,0.0425000008690849,-1.5707963267949,0,0,gg_rsh1_Link,0,0,-1,0,0,-3.1416,0,,,,,,,,
gg_rup_Link,-0.0134580824206121,0.00559925490584134,0.115285754057479,0,0,0,0.186512140859523,0.0010968548819787,3.66894254551335E-08,-1.63421546598697E-08,0.00101486771744197,7.6010344481468E-05,0.000252652799336481,0,0,0,0,0,0,package://gg_description/meshes/gg_rup_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_rup_Link.STL,,upper_arm_r-2,gg_rup_link13,axis_rup,gg_rup_joint,revolute,0.0525020799566041,0.0134600008776389,0,1.5707963267949,0,1.57079632889709,gg_rsh2_Link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
gg_rfo_Link,-0.00636392874628855,0.0443187792850652,-0.0134108846717047,0,0,0,0.078708037980908,0.000142501417323633,-2.85076611405841E-05,-3.54279459871569E-09,8.45415887824212E-05,3.29103853992219E-09,0.000143444548402331,0,0,0,0,0,0,package://gg_description/meshes/gg_rfo_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_rfo_Link.STL,,forearm_r-1,gg_rfo_link14,axis_rfo,gg_rfo_joint,revolute,0,0,0.257097917271541,1.5707963267949,0,1.5707963267949,gg_rup_Link,0,0,-1,0,0,0,2.1817,,,,,,,,
gg_rwr1_Link,0.000960346520169852,-4.09349725652985E-05,-0.0749380923489797,0,0,0,0.11389315133205,0.000119267874430709,7.97246981145315E-09,-1.56203889051018E-06,0.000129201425035623,-1.25420855390573E-07,5.4605410730218E-05,0,0,0,0,0,0,package://gg_description/meshes/gg_rwr1_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_rwr1_Link.STL,,wrist_r-1,gg_wr1_link15,axis_rwr1,gg_rwr1_joint,revolute,0,0.0944000009584798,-0.0134600007672695,1.5707963267949,0,0,gg_rfo_Link,0,0,1,0,0,-2.618,2.618,,,,,,,,
gg_rwr2_Link,5.27035959831945E-05,0.0149429972956123,-0.000477296526397386,0,0,0,9.51863081125802E-06,4.4447503945275E-09,5.55003931203248E-12,5.2946687568552E-14,5.82329186061077E-09,3.73101441494862E-12,3.84018286041126E-09,0,0,0,0,0,0,package://gg_description/meshes/gg_rwr2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://gg_description/meshes/gg_rwr2_Link.STL,,wrist-hand_r-1,gg_rwr2_link16,axis_rwr2,gg_rwr2_joint,revolute,0,0,-0.11755,-1.5708,0,0,gg_rwr1_Link,0,0,1,0,0,-1.2217,1.2217,,,,,,,,
gg_rbaseha_Link,-3.46662190466862E-05,-0.00143531076907066,0.00106282905844968,0,0,0,0.0288403504387064,4.83725908281321E-06,4.14903498339935E-09,1.68331968166638E-09,6.93893759256986E-06,1.15975580281495E-07,5.07061471926491E-06,0,0,0,0,0,0,package://gg_description/meshes/gg_rbaseha_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gg_description/meshes/gg_rbaseha_Link.STL,,base_gripper_right-1,gg_rbasehand_link17,Axis_gg_rbaseha_joint2,gg_rbaseha_joint,fixed,0,0.0386368164576881,0,0,0,0,gg_rwr2_Link,0,0,0,,,,,,,,,,,,
